"id	title	link	snippet",,,,,,,,,,,,,,,,
"191	Presumed asymptomatic carrier transmission of COVID-19	https://jamanetwork.com/journals/jama/article-abstract/2762028	Methods| In January 2020", we enrolled a familial cluster of 5 patients with fever and respiratory symptoms who were admitted to the Fifth People's Hospital of Anyang, Anyang, China, and 1 asymptomatic family member. This study was approved by the local …,,,,,,,,,,,,
"
583	[HTML][HTML] A conceptual model for the outbreak of coronavirus disease 2019 (COVID-19) in Wuhan, china with individual reaction and governmental action	https://www.sciencedirect.com/science/article/pii/S120197122030117X	… Recent studies showed that COVID-19 transmitted rapidly … which is at the same level of the",,,,,,,,,,,,,,,,
case-fatality-rate of COVID-19 in Wuhan … we considered some essential elements, including,,,,,,,,,,,,,,,
individual behavioural response, governmental actions, zoonotic transmission and emigration … ,,,,,,,,,,,,,,
"
584	[HTML][HTML] COVID-19 and smoking: A systematic review of the evidence	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7083240/	… doi: 10.1186/s12971-016-0101-z. [PMC free article] [PubMed] [CrossRef] [Google Scholar]. 7.",,,,,,,,,,,,,,,,
Park JE, Jung S, Kim A. MERS transmission and risk factors … Clinical course and risk factors for,,,,,,,,,,,,,,
mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study … ,,,,,,,,,,,,,,,
"
585	Management strategies in a SEIR model of COVID 19 community spread	https://arxiv.org/abs/2003.11150	… Significant gaps persist in our knowledge of COVID 19 epidemiology", transmission,,,,,,,,,,,,,,,
dynamics, in- vestigation tools and management, despite (or possibly contributing,,,,,,,,,,,,,,
to) the fact that the ourtbreak is an unprecedented global threat … ,,,,,,,,,,,,,,,,
"
586	Estimating the generation interval for COVID-19 based on symptom onset data	https://www.medrxiv.org/content/10.1101/2020.03.05.20031815v1.abstract	… 19 have not been provided. Methods: We used outbreak data from clusters in Singapore and",,,,,,,,,,,,,,,,
Tianjin, China to estimate the generation interval from symptom onset data while acknowledging,,,,,,,,,,,,,,,
uncertainty about the incubation period distribution and the underlying transmission … ,,,,,,,,,,,,,,,,
"
587	Clinical features and dynamics of viral load in imported and non-imported patients with COVID-19	https://www.sciencedirect.com/science/article/pii/S1201971220301417	… 11. Lim J", Jeon S, Shin HY, et al. Case of the Index Patient Who Caused Tertiary Transmission,,,,,,,,,,,,,
of COVID-19 Infection in Korea: the Application of Lopinavir/Ritonavir for the Treatment of,,,,,,,,,,,,,,,,
COVID-19 Infected Pneumonia Monitored by Quantitative RT-PCR. J Korean Med Sci … ,,,,,,,,,,,,,,,,
"
588	An Invited Commentary on “World Health Organization declares global emergency: A review of the 2019 novel Coronavirus (COVID-19)"""": Emergency or new reality?""	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7129518/	""… 80 and above [ 1 ]. Sorhabi et al. give an informative and comprehensive account",,,,,,,,,,,,,,,,
of the timeline, etiology, symptoms, supportive treatment, and transmission prevention,,,,,,,,,,,,
of COVID-19 [ 2 ]. The WHO's declaration of COVID-19 … ,,,,,,,,,,,,,,,,
"
589	Transmission of light in deep sea water at the site of the ANTARES neutrino telescope	https://www.sciencedirect.com/science/article/pii/S0927650504001902	… COVID-19 campus closures: see options for Remote Access to subscribed content. Elsevier.",,,,,,,,,,,,,,,,
Astroparticle Physics. Volume 23, Issue 1, February 2005, Pages 131-155. Astroparticle Physics.,,,,,,,,,,,,,
Transmission of light in deep sea water at the site of the Antares neutrino telescope … ,,,,,,,,,,,,,,,,
"
590	[PDF][PDF] Evaluating the secondary transmission pattern and epidemic prediction of the COVID-19 in metropolitan areas of China	https://www.medrxiv.org/content/medrxiv/early/2020/03/08/2020.03.06.20032177.full.pdf	Understanding the transmission dynamics of COVID-19 is crucial for evaluating the spread pattern of it, especially in metropolitan areas of China which may cause secondary outbreaks outside Wuhan, the center of the new coronavirus disease outbreak. We used …
591	Teledermatology: a useful tool to fight COVID-19	https://www.tandfonline.com/doi/full/10.1080/09546634.2020.1750557	… for patients affected by chronic diseases. Teledermatology uses telecommunication to transmit",,,,,,,,,,,,,,,,
medical information to a dermatologist … COVID-19 transmission: a call for immediate cessation,,,,,,,,,,,,,,,,
of non-emergent dermatolgy visits. Journal of the American Academy of Dermatology … ,,,,,,,,,,,,,,,,
"
592	[HTML][HTML] Identification of Coronavirus Isolated from a Patient in Korea with COVID-19	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7045880/	… Fisher Scientific). 3. Virus isolation. The virus was isolated from nasopharyngeal and",,,,,,,,,,,,,,,,
oropharyngeal samples from putative COVID-19 patients. Oropharyngeal samples … 1,0,,,,,,,,,,,,,,,
replicates. 6. Transmission electron microscopy. For transmission … ,,,,,,,,,,,,,,,,
"
593	Cardiac involvement in a patient with coronavirus disease 2019 (COVID-19)	https://jamanetwork.com/journals/jamacardiology/article-abstract/2763843	… JAMA. 2020. Published online March 3", 2020. doi:10.1001/jama.2020.3204PubMedGoogle,,,,,,,,,,,,,,,
Scholar. 8. Gao J, Tian Z, Yang X. Breakthrough: chloroquine phosphate has shown apparent,,,,,,,,,,,,,,
efficacy in treatment of COVID-19 associated pneumonia in clinical studies. Biosci Trends … ,,,,,,,,,,,,,,,,
"
594	COVID-19 in pregnant women	https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30175-4/fulltext	… Viruses 2020; 12: e194. 4 Chen H", Guo J, Wang C, et al. Clinical characteristics and,,,,,,,,,,,,,
intrauterine vertical transmission potential of COVID-19 infection in nine pregnant women:,,,,,,,,,,,,,,,,
a retrospective review of medical records. Lancet 2020. https://doi … ,,,,,,,,,,,,,,,,
"
595	HIV, sexually transmitted diseases and gynaecologic disorders in women: increased risk for genital herpes and warts among HIV-infected prostitutes in Amsterdam.	https://europepmc.org/article/med/8527081	… HIV", sexually transmitted diseases and gynaecologic disorders in women: increased risk for genital,,,,,,,,,,,,,,,
herpes and warts among HIV-infected prostitutes in Amsterdam … [Vertical trasmission of human,,,,,,,,,,,,,,,,
immunodeficiency virus (HIV) and other sexually transmitted infections (STI)] … ,,,,,,,,,,,,,,,,
"
596	The Role of Environmental Factors on Transmission Rates of the COVID-19 Outbreak: An Initial Assessment in Two Spatial Scales.	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552677	A novel coronavirus (SARS-CoV-2) was identified in Wuhan, Hubei Province, China, in December 2019 and has caused over 100,000 cases of COVID-19 worldwide to date. Previous studies have supported an epidemiological hypothesis that cold and dry …
597	[HTML][HTML] Are children less susceptible to COVID-19?	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7102573/	… Lancet. 2020;395:497–506. [PubMed] [Google Scholar]. 5. Li Q.", Guan X., Wu P., Wang X., Zhou,,,,,,,,,,,,
L., Tong Y. Early transmission dynamics in Wuhan … vol. 41. 2020. The epidemiological,,,,,,,,,,,,,,,
characteristics of an outbreak of 2019 novel coronavirus diseases (COVID-19) — China, 2020 … ,,,,,,,,,,,,,,,
"
598	Mathematical recommendations to fight against COVID-19	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551006	… March 2020 Abstract The statistics show that the mortality of COVID-19 is 20 times higher than",,,,,,,,,,,,,,,,
seasonal flu and close to that of Spanish flu, hence it is becoming an absolute priority for every,,,,,,,,,,,,,,,
country to take efficient measure to limit the transmission of COVID-19 … ,,,,,,,,,,,,,,,,
"
599	Rapid viral diagnosis and ambulatory management of suspected COVID-19 cases presenting at the infectious diseases referral hospital in Marseille, France,-January …	https://www.sciencedirect.com/science/article/pii/S1477893920301009	… Conclusion. Early recognition of COVID-19 is critical to isolate confirmed cases and",,,,,,,,,,,,,,,,
prevent further transmission … 5. Conclusion. Early recognition of COVID-19 is critical,,,,,,,,,,,,,,,,
to isolate confirmed cases and prevent further transmission … ,,,,,,,,,,,,,,,,
"
600	[PDF][PDF] Laboratory testing strategy recommendations for COVID-19: interim guidance, 22 March 2020	https://apps.who.int/iris/bitstream/handle/10665/331509/WHO-COVID-19-lab_testing-2020.1-eng.pdf	… Each country should assess its risk and rapidly implement the necessary measures at the",,,,,,,,,,,,,,,,
appropriate scale and prepare for a testing and clinical care surge to reduce both,,,,,,,,,,,,,,,,
COVID-19 transmission and economic, public health, and social impacts … ,,,,,,,,,,,,,,
"
601	Coronavirus disease 2019–COVID-19	https://www.preprints.org/manuscript/202003.0001	… Recently", individuals with asymptomatic infections were also suspected of 143 potentially,,,,,,,,,,,,,,,
transmitting infections, which further add to the complexity of disease 144 transmission dynamics,,,,,,,,,,,,,,,
in COVID-19 infections (1). The current status suggests that the 145 COVID-19 outbreak in … ,,,,,,,,,,,,,,,,
"
602	Focus on the “Crosstalk” Between COVID-19 and Urogenital Systems	https://www.auajournals.org/doi/abs/10.1097/JU.0000000000001068	… Beyond conventional routes of transmission of respiratory droplets and direct contact",,,,,,,,,,,,,,,,
COVID-19 is highly likely to be transmitted by the urine, which is in accordance with the Middle,,,,,,,,,,,,,,,
East respiratory syndrome coronavirus (MERS-CoV) and SARS-CoV … ,,,,,,,,,,,,,,,,
"
603	[PDF][PDF] Anesthesia procedure of emergency operation for patients with suspected or confirmed COVID-19	https://www.liebertpub.com/doi/pdfplus/10.1089/sur.2020.040	… To the Editor: Since December 2019", COVID-19, a novel coronavirus pneumonia (NCP) has,,,,,,,,,,,,,,
broken out in Wuhan, China [1]. It is transmitted mainly through respiratory droplets, but also,,,,,,,,,,,,,,
through contact. The incubation period is 1–14 days—mostly 3–7 days … ,,,,,,,,,,,,,,,,
"
604	[HTML][HTML] Spatial transmission of COVID-19 via public and private transportation in China	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7118651/	This is a PDF file of an article that has undergone enhancements after acceptance, such as the addition of a cover page and metadata, and formatting for readability, but it is not yet the definitive version of record. This version will undergo additional copyediting, typesetting and …
605	[HTML][HTML] Liver injury in COVID-19: management and challenges	https://www.thelancet.com/journals/langas/article/PIIS2468-1253(20)30057-1/fulltext	… DOI:10.1016/S2213-2600(20)30079-5. 11 Yeo C", Kaushal S, Yeo D. Enteric involvement,,,,,,,,,,,,,,
of coronaviruses: is faecal–oral transmission of SARS-CoV-2 possible … Pathological findings,,,,,,,,,,,,,,,,
of COVID-19 associated with acute respiratory distress syndrome … ,,,,,,,,,,,,,,,,
"
606	Estimation of country-level basic reproductive ratios for novel Coronavirus (COVID-19) using synthetic contact matrices	https://www.medrxiv.org/content/10.1101/2020.02.26.20028167v1.abstract	… If such asymptomatic infections transmit equally to symptomatic cases", then the scaling of the,,,,,,,,,,,,,,,
reproductive ratio is expected to be closer to Figure 1. Finally, it is worth stressing that these,,,,,,,,,,,,,,,
projections … Early dynamics of transmission and control of COVID-19: a mathematical … ,,,,,,,,,,,,,,,,
"
607	COVID-19, SARS and MERS: are they closely related?	https://www.sciencedirect.com/science/article/pii/S1198743X20301713	… could also be transmitted via this route", together with the evidence that SARS-CoV and,,,,,,,,,,,,,,,
MERS-CoV remain viable in environmental conditions that could facilitate faecal–oral transmission.,,,,,,,,,,,,,,,,
47 In Table 3 we provide a synthesis of what is certain to date about COVID-19 and what … ,,,,,,,,,,,,,,,,
"
608	Routes for COVID-19 importation in Brazil	https://www.arca.fiocruz.br/handle/icict/40616	… imported cases). Here", we analyse data on airline travellers to Brazil in 2019, who departed from,,,,,,,,,,,,,,
countries that had reported local cases of COVID-19 transmission by March 5 th 2020. Page 3 …,,,,,,,,,,,,,,,,
deployment of resources to mitigate COVID-19 transmission. Page 6. 6 6 … ,,,,,,,,,,,,,,,,
"
609	Profiling early humoral response to diagnose novel coronavirus disease (COVID-19)	https://academic.oup.com/cid/advance-article-abstract/doi/10.1093/cid/ciaa310/5810754	… Close mobile search navigation Article Navigation. Article Contents. Abstract. Article",,,,,,,,,,,,,,,,
Navigation. Accepted manuscript. Profiling Early Humoral Response to Diagnose Novel,,,,,,,,,,,,,,,,
Coronavirus Disease (COVID-19). Li Guo, Ph.D. NHC Key … ,,,,,,,,,,,,,,,
"
610	[PDF][PDF] Effect of delay in diagnosis on transmission of COVID-19	http://www.aimspress.com/fileOther/PDF/MBE/mbe-17-03-149.pdf	The outbreak of COVID-19 caused by SARS-CoV-2 in Wuhan and other cities of China is a growing global concern. Delay in diagnosis and limited hospital resources lead to a rapid spread of COVID-19. In this study, we investigate the effect of delay in diagnosis on the …
611	[HTML][HTML] Rapid Sentinel Surveillance for COVID-19—Santa Clara County, California, March 2020	https://www.cdc.gov/mmwr/volumes/69/wr/mm6914e3.htm	… For this investigation", county residents evaluated with respiratory symptoms (eg, fever, cough,,,,,,,,,,,,,
or shortness of breath) who had no recent travel to an area outside the United States with,,,,,,,,,,,,,,,,
sustained COVID-19 transmission and no known close contact with a patient with confirmed … ,,,,,,,,,,,,,,,,
"
612	Possibility of transmission through dogs being a contributing factor to the extreme Covid‑19 outbreak in North Italy	https://www.spandidos-publications.com/10.3892/mmr.2020.11037	Covid‑19 origin and transmission to humans. Covid‑19 infection began in Wuhan (Hubei, China) in December, 2019. Although to date it is considered that Covid‑19 originates from bats (96.2% overall genome sequence identity)(1), the type of intermediate animals that …
613	Timely blood glucose management for the outbreak of 2019 novel coronavirus disease (COVID-19) is urgently needed	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7102524/	… With the aim of preventing person-to-person transmission", a variety of online services,,,,,,,,,,,,,,,
